id,EmployeeID,CourseID,Verified,Proficiency,CertificateLink,ScoreObtained,SkillType
182,JMD313,41,True,Advanced,http://example.com/certificate/JMD313/41,,CERTIFICATE
197,JMD315,33,False,Basic,http://example.com/certificate/JMD315/33,,CERTIFICATE
198,JMD315,71,False,Basic,http://example.com/certificate/JMD315/71,,CERTIFICATE
201,JMD315,61,False,Basic,,64.0,ASSESSMENT
204,JMD316,36,False,Basic,http://example.com/certificate/JMD316/36,,CERTIFICATE
208,JMD317,49,False,Basic,http://example.com/certificate/JMD317/49,,CERTIFICATE
212,JMD317,55,False,Intermediate,http://example.com/certificate/JMD317/55,,CERTIFICATE
213,JMD318,8,False,Advanced,,73.0,ASSESSMENT
214,JMD318,39,False,Intermediate,http://example.com/certificate/JMD318/39,,CERTIFICATE
215,JMD318,50,False,Intermediate,,67.0,ASSESSMENT
216,JMD318,36,False,Basic,http://example.com/certificate/JMD318/36,,CERTIFICATE
217,JMD318,70,False,Intermediate,http://example.com/certificate/JMD318/70,,CERTIFICATE
218,JMD319,25,False,Basic,http://example.com/certificate/JMD319/25,,CERTIFICATE
221,JMD319,55,False,Intermediate,http://example.com/certificate/JMD319/55,,CERTIFICATE
222,JMD319,28,False,Advanced,http://example.com/certificate/JMD319/28,,CERTIFICATE
223,JMD319,38,False,Advanced,http://example.com/certificate/JMD319/38,,CERTIFICATE
224,JMD320,59,False,Basic,http://example.com/certificate/JMD320/59,,CERTIFICATE
225,JMD320,36,False,Intermediate,,69.0,ASSESSMENT
226,JMD320,8,False,Advanced,http://example.com/certificate/JMD320/8,,CERTIFICATE
227,JMD320,4,False,Intermediate,,85.0,ASSESSMENT
109,JMD301,29,True,Advanced,http://example.com/certificate/JMD301/29,,CERTIFICATE
141,JMD306,35,True,Intermediate,http://example.com/certificate/JMD306/35,,CERTIFICATE
191,JMD314,14,True,Intermediate,http://example.com/certificate/JMD314/14,,CERTIFICATE
196,JMD315,45,True,Advanced,http://example.com/certificate/JMD315/45,,CERTIFICATE
199,JMD315,9,True,Advanced,,80.0,ASSESSMENT
200,JMD315,38,True,Intermediate,http://example.com/certificate/JMD315/38,,CERTIFICATE
202,JMD316,32,True,Intermediate,,53.0,ASSESSMENT
203,JMD316,17,True,Advanced,,65.0,ASSESSMENT
205,JMD316,42,True,Advanced,http://example.com/certificate/JMD316/42,,CERTIFICATE
206,JMD316,31,True,Intermediate,http://example.com/certificate/JMD316/31,,CERTIFICATE
207,JMD317,53,True,Intermediate,http://example.com/certificate/JMD317/53,,CERTIFICATE
209,JMD317,35,True,Basic,,84.0,ASSESSMENT
210,JMD317,71,True,Basic,http://example.com/certificate/JMD317/71,,CERTIFICATE
211,JMD317,54,True,Advanced,,73.0,ASSESSMENT
230,JMD320,24,True,Basic,http://example.com/certificate/JMD320/24,,CERTIFICATE
229,JMD320,33,True,Intermediate,http://example.com/certificate/JMD320/33,,CERTIFICATE
228,JMD320,61,True,Intermediate,,94.0,ASSESSMENT
220,JMD319,49,True,Basic,,76.0,ASSESSMENT
219,JMD319,34,True,Intermediate,,51.0,ASSESSMENT
