EmployeeID,CourseID,Proficiency,SkillType,CertificateLink,ScoreObtained,Verified,ScoreCategory
JMD311,50,Basic,ASSESSMENT,nan,69.0,False,Average
JMD311,24,Advanced,ASSESSMENT,nan,51.0,False,Below average
JMD311,15,Intermediate,ASSESSMENT,nan,76.0,False,Good
JMD311,49,Basic,CERTIFICATE,http://example.com/certificate/JMD311/49,,True,
JMD311,20,Basic,CERTIFICATE,http://example.com/certificate/JMD311/20,,True,
JMD311,51,Basic,ASSESSMENT,nan,80.0,False,Good
JMD312,53,Advanced,CERTIFICATE,http://example.com/certificate/JMD312/53,,True,
JMD312,39,Basic,CERTIFICATE,http://example.com/certificate/JMD312/39,,False,
JMD312,27,Advanced,CERTIFICATE,http://example.com/certificate/JMD312/27,,False,
JMD312,12,Basic,ASSESSMENT,nan,72.0,False,Good
JMD312,41,Basic,ASSESSMENT,nan,80.0,False,Good
JMD312,46,Basic,CERTIFICATE,http://example.com/certificate/JMD312/46,,False,
JMD312,6,Advanced,ASSESSMENT,nan,99.0,True,Excellent
JMD313,53,Advanced,ASSESSMENT,nan,91.0,True,Excellent
JMD313,30,Intermediate,ASSESSMENT,nan,82.0,True,Best
JMD313,13,Basic,ASSESSMENT,nan,75.0,True,Good
JMD313,43,Basic,ASSESSMENT,nan,60.0,True,Below average
JMD313,52,Advanced,ASSESSMENT,nan,69.0,True,Average
JMD313,50,Basic,CERTIFICATE,http://example.com/certificate/JMD313/50,,True,
JMD313,41,Advanced,CERTIFICATE,http://example.com/certificate/JMD313/41,,True,
JMD314,14,Intermediate,CERTIFICATE,http://example.com/certificate/JMD314/14,,True,
JMD314,61,Basic,CERTIFICATE,http://example.com/certificate/JMD314/61,,False,
JMD314,48,Advanced,CERTIFICATE,http://example.com/certificate/JMD314/48,,True,
JMD314,51,Basic,CERTIFICATE,http://example.com/certificate/JMD314/51,,False,
JMD314,38,Basic,CERTIFICATE,http://example.com/certificate/JMD314/38,,False,
JMD314,42,Basic,CERTIFICATE,http://example.com/certificate/JMD314/42,,True,
JMD315,9,Advanced,ASSESSMENT,nan,80.0,True,Good
JMD315,45,Advanced,CERTIFICATE,http://example.com/certificate/JMD315/45,,True,
JMD315,38,Intermediate,CERTIFICATE,http://example.com/certificate/JMD315/38,,True,
JMD315,61,Basic,ASSESSMENT,nan,64.0,False,Average
JMD315,34,Intermediate,ASSESSMENT,nan,70.0,False,Average
JMD315,33,Basic,CERTIFICATE,http://example.com/certificate/JMD315/33,,False,
JMD315,71,Basic,CERTIFICATE,http://example.com/certificate/JMD315/71,,False,
JMD316,31,Intermediate,CERTIFICATE,http://example.com/certificate/JMD316/31,,True,
JMD316,42,Advanced,CERTIFICATE,http://example.com/certificate/JMD316/42,,True,
JMD316,17,Advanced,ASSESSMENT,nan,65.0,True,Average
JMD316,32,Intermediate,ASSESSMENT,nan,53.0,True,Below average
JMD316,36,Basic,CERTIFICATE,http://example.com/certificate/JMD316/36,,False,
JMD317,54,Advanced,ASSESSMENT,nan,73.0,True,Good
JMD317,71,Basic,CERTIFICATE,http://example.com/certificate/JMD317/71,,True,
JMD317,35,Basic,ASSESSMENT,nan,84.0,True,Best
JMD317,53,Intermediate,CERTIFICATE,http://example.com/certificate/JMD317/53,,True,
JMD317,55,Intermediate,CERTIFICATE,http://example.com/certificate/JMD317/55,,False,
JMD317,49,Basic,CERTIFICATE,http://example.com/certificate/JMD317/49,,False,
JMD318,8,Advanced,ASSESSMENT,nan,73.0,False,Good
JMD318,70,Intermediate,CERTIFICATE,http://example.com/certificate/JMD318/70,,False,
JMD318,39,Intermediate,CERTIFICATE,http://example.com/certificate/JMD318/39,,False,
JMD318,50,Intermediate,ASSESSMENT,nan,67.0,False,Average
JMD318,36,Basic,CERTIFICATE,http://example.com/certificate/JMD318/36,,False,
JMD319,25,Basic,CERTIFICATE,http://example.com/certificate/JMD319/25,,False,
JMD319,55,Intermediate,CERTIFICATE,http://example.com/certificate/JMD319/55,,False,
JMD319,34,Intermediate,ASSESSMENT,nan,51.0,True,Below average
JMD319,38,Advanced,CERTIFICATE,http://example.com/certificate/JMD319/38,,False,
JMD319,49,Basic,ASSESSMENT,nan,76.0,True,Good
JMD319,28,Advanced,CERTIFICATE,http://example.com/certificate/JMD319/28,,False,
JMD320,4,Intermediate,ASSESSMENT,nan,85.0,False,Best
JMD320,59,Basic,CERTIFICATE,http://example.com/certificate/JMD320/59,,False,
JMD320,36,Intermediate,ASSESSMENT,nan,69.0,False,Average
JMD320,24,Basic,CERTIFICATE,http://example.com/certificate/JMD320/24,,True,
JMD320,33,Intermediate,CERTIFICATE,http://example.com/certificate/JMD320/33,,True,
JMD320,61,Intermediate,ASSESSMENT,nan,94.0,True,Excellent
JMD320,8,Advanced,CERTIFICATE,http://example.com/certificate/JMD320/8,,False,
