enrollment_id,employee_id,course_id,enrolled_date,completed_date,progress,ratings,feedback
79,455,23,2023-05-18,2023-11-12,1,4.6,Very informative and well structured.
80,320,5,2024-03-05,2024-08-07,27,2.0,"Poorly organized, I expected better."
81,471,12,2023-12-10,2024-04-26,0,1.6,I would not recommend this course.
82,178,18,2023-11-21,2024-01-15,88,2.1,"Poorly organized, I expected better."
83,321,9,2023-04-15,2023-09-14,86,3.6,The course met my expectations.
84,383,13,2024-08-04,2024-11-12,75,5.0,Very informative and well structured.
85,379,17,2023-05-25,2023-10-01,2,3.9,Average course with some useful content.
86,421,5,2024-01-27,2024-05-28,82,4.7,I really enjoyed this course.
87,440,18,2024-09-08,2024-10-14,80,1.6,"Poorly organized, I expected better."
88,157,7,2024-05-08,2024-07-09,12,4.5,I really enjoyed this course.
89,331,8,2023-11-08,2024-03-14,55,4.9,"Excellent course, highly recommend!"
90,256,2,2023-07-11,2023-10-06,15,3.4,"Not much to say, it was a standard course."
91,95,17,2023-05-22,2023-07-21,82,2.0,I didn't learn anything new from this course.
92,7,5,2023-05-17,2023-09-08,32,4.0,"Excellent course, highly recommend!"
93,185,2,2023-12-13,2024-05-24,37,4.1,I really enjoyed this course.
94,191,16,2024-02-16,2024-06-12,29,3.0,It was a decent experience overall.
95,433,20,2023-06-28,2023-11-10,5,3.4,The course met my expectations.
96,304,20,2023-07-23,2023-11-06,52,1.0,"Not worth the time, very disappointing."
97,356,2,2023-12-13,2024-04-05,42,2.3,"Not worth the time, very disappointing."
98,426,14,2024-05-17,2024-09-28,41,2.0,I didn't learn anything new from this course.
99,172,8,2022-12-28,2023-04-05,91,2.7,It was a decent experience overall.
100,416,16,2023-10-23,2024-04-11,42,2.4,"Poorly organized, I expected better."
101,495,17,2023-06-09,2023-11-23,24,2.3,I didn't learn anything new from this course.
102,164,4,2023-09-06,2023-11-09,80,4.3,I really enjoyed this course.
103,334,6,2023-09-04,2024-01-25,99,4.0,I really enjoyed this course.
104,377,18,2023-02-04,2023-06-02,48,2.9,Average course with some useful content.
105,152,20,2023-09-12,2023-11-05,88,1.3,"Not worth the time, very disappointing."
106,281,14,2023-09-18,2024-02-27,74,3.6,"The course was okay, not too bad."
107,185,24,2023-01-01,2023-02-07,87,2.4,I didn't learn anything new from this course.
108,77,2,2023-10-27,2024-03-03,49,1.3,"Not worth the time, very disappointing."
109,386,16,2023-06-06,2023-11-13,70,1.3,I didn't learn anything new from this course.
110,121,16,2024-02-20,2024-07-26,65,4.0,"The instructor was great, learned a lot!"
111,469,12,2024-01-13,2024-04-02,81,3.2,Average course with some useful content.
112,93,5,2023-10-11,2024-03-15,62,1.4,I would not recommend this course.
113,77,2,2024-07-18,2025-01-02,10,2.8,Average course with some useful content.
114,347,10,2023-08-18,2023-10-30,38,2.4,I didn't learn anything new from this course.
115,229,4,2024-06-09,2024-10-25,80,3.8,The course met my expectations.
116,498,5,2024-01-22,2024-03-03,40,3.5,It was a decent experience overall.
117,72,11,2023-11-05,2024-01-05,89,2.1,I would not recommend this course.
118,211,4,2023-08-21,2023-11-22,21,2.0,I would not recommend this course.
119,104,14,2022-10-11,2023-02-08,55,4.8,Very informative and well structured.
120,284,16,2024-02-26,2024-04-21,99,4.9,Very informative and well structured.
121,138,6,2024-03-27,2024-09-11,92,4.6,I really enjoyed this course.
122,336,14,2024-09-22,2025-02-24,73,3.1,"The course was okay, not too bad."
123,47,12,2022-11-09,2023-04-26,35,4.8,The materials provided were very helpful.
124,318,4,2024-09-29,2024-12-23,97,2.0,"Poorly organized, I expected better."
125,363,14,2024-04-15,2024-07-13,79,2.4,"Poorly organized, I expected better."
126,495,7,2023-07-08,2023-10-29,70,4.6,I really enjoyed this course.
127,411,24,2024-07-28,2024-10-22,37,4.4,I really enjoyed this course.
128,163,13,2022-11-19,2023-04-12,61,3.1,It was a decent experience overall.
129,226,18,2024-05-16,2024-07-02,63,3.7,The course met my expectations.
130,287,22,2023-10-28,2024-03-15,13,1.3,I didn't learn anything new from this course.
131,240,22,2024-07-31,2024-09-24,84,2.3,"Poorly organized, I expected better."
132,157,5,2024-01-07,2024-06-10,96,2.5,Average course with some useful content.
133,29,16,2024-01-17,2024-05-07,88,2.4,I didn't learn anything new from this course.
134,41,4,2024-03-06,2024-07-05,16,1.3,I would not recommend this course.
135,257,14,2023-05-23,2023-11-14,24,1.9,"Not worth the time, very disappointing."
136,385,5,2024-08-04,2024-12-03,47,1.5,"Not worth the time, very disappointing."
137,177,5,2023-06-01,2023-10-17,75,3.5,Average course with some useful content.
138,289,6,2024-06-03,2024-07-06,67,2.4,"Poorly organized, I expected better."
139,469,16,2022-11-13,2023-02-03,52,3.5,The course met my expectations.
140,285,1,2023-07-28,2023-12-06,0,3.0,"The course was okay, not too bad."
141,309,18,2024-06-06,2024-07-30,32,3.2,"Not much to say, it was a standard course."
142,341,17,2023-12-25,2024-03-03,46,4.0,Very informative and well structured.
143,214,2,2023-01-06,2023-03-13,98,4.0,"The instructor was great, learned a lot!"
144,15,22,2024-01-21,2024-07-11,42,2.0,I didn't learn anything new from this course.
145,167,21,2022-11-19,2023-02-24,77,3.6,The course met my expectations.
146,86,8,2024-09-05,2025-01-30,88,3.4,"The course was okay, not too bad."
147,195,18,2024-05-29,2024-09-04,85,3.7,It was a decent experience overall.
148,123,9,2023-12-01,2024-04-14,79,1.5,"Not worth the time, very disappointing."
149,47,21,2024-03-02,2024-08-17,23,4.1,Very informative and well structured.
150,312,5,2022-12-21,2023-02-28,73,3.5,Average course with some useful content.
151,311,21,2023-06-27,2023-11-14,35,3.1,"Not much to say, it was a standard course."
152,369,2,2024-10-03,2025-01-26,33,1.2,"Poorly organized, I expected better."
153,259,16,2024-03-11,2024-05-19,41,4.6,Very informative and well structured.
154,480,1,2023-09-08,2024-01-09,83,1.1,I would not recommend this course.
155,32,13,2023-09-09,2023-12-22,30,1.9,"Not worth the time, very disappointing."
156,102,13,2024-05-16,2024-09-29,63,4.8,Very informative and well structured.
157,452,2,2024-05-17,2024-07-20,53,4.6,"The instructor was great, learned a lot!"
158,485,4,2024-03-06,2024-05-05,3,4.8,"Excellent course, highly recommend!"
159,22,19,2024-05-08,2024-07-18,25,2.6,Average course with some useful content.
160,252,15,2024-02-25,2024-07-21,18,4.6,I really enjoyed this course.
161,311,2,2022-11-05,2023-04-20,16,2.9,"Not much to say, it was a standard course."
162,318,10,2023-01-19,2023-05-27,10,1.4,I didn't learn anything new from this course.
163,115,8,2024-03-20,2024-07-13,46,5.0,The materials provided were very helpful.
164,43,2,2023-08-20,2023-10-28,27,3.3,Average course with some useful content.
165,438,15,2024-04-12,2024-09-27,90,3.1,The course met my expectations.
166,430,3,2023-10-03,2023-11-04,90,1.4,I would not recommend this course.
167,461,3,2024-03-12,2024-05-19,17,2.1,"Poorly organized, I expected better."
168,78,11,2023-11-03,2024-04-15,83,3.7,"Not much to say, it was a standard course."
169,395,20,2024-01-12,2024-05-05,16,2.8,"Not much to say, it was a standard course."
170,496,24,2023-04-23,2023-05-29,30,2.0,I would not recommend this course.
171,483,18,2024-03-13,2024-05-10,52,1.7,The content was outdated and irrelevant.
172,1,2,2024-01-04,2024-03-31,48,1.5,The content was outdated and irrelevant.
173,255,17,2022-12-15,2023-05-15,49,1.4,"Poorly organized, I expected better."
174,241,23,2024-09-11,2024-10-14,56,4.5,"Excellent course, highly recommend!"
175,377,24,2022-10-11,2023-03-13,10,3.1,It was a decent experience overall.
176,289,11,2023-07-18,2023-09-16,2,4.3,"The instructor was great, learned a lot!"
177,123,8,2022-11-30,2023-02-03,99,1.6,"Not worth the time, very disappointing."
178,393,15,2023-02-07,2023-04-30,69,2.9,"The course was okay, not too bad."
179,398,16,2023-04-15,2023-09-21,16,2.5,"The course was okay, not too bad."
180,493,19,2024-04-10,2024-09-22,31,4.1,"Excellent course, highly recommend!"
181,211,11,2024-04-05,2024-07-22,97,3.2,Average course with some useful content.
182,255,22,2022-12-05,2023-03-12,13,4.6,I really enjoyed this course.
183,425,19,2024-07-30,2024-11-21,12,4.0,"The instructor was great, learned a lot!"
184,76,3,2023-12-01,2024-04-22,31,1.4,"Poorly organized, I expected better."
185,100,21,2023-08-18,2023-10-29,19,4.9,Very informative and well structured.
186,488,13,2023-03-20,2023-09-10,20,1.0,I didn't learn anything new from this course.
187,226,13,2024-06-28,2024-12-17,59,4.4,I really enjoyed this course.
188,123,15,2024-07-03,2024-12-26,97,1.0,The content was outdated and irrelevant.
189,229,4,2023-08-04,2023-09-14,13,1.7,I didn't learn anything new from this course.
190,273,6,2023-11-23,2024-01-21,49,4.2,I really enjoyed this course.
191,195,13,2023-05-22,2023-10-14,86,4.9,The materials provided were very helpful.
192,94,23,2023-12-05,2024-05-24,14,1.6,"Not worth the time, very disappointing."
193,63,15,2023-07-22,2024-01-01,68,1.3,The content was outdated and irrelevant.
194,34,12,2023-12-03,2024-02-01,76,1.0,"Poorly organized, I expected better."
195,369,13,2023-12-24,2024-01-24,57,1.0,"Poorly organized, I expected better."
196,122,19,2023-06-26,2023-10-01,13,1.2,I would not recommend this course.
197,304,21,2024-05-20,2024-11-11,90,1.1,I didn't learn anything new from this course.
198,305,19,2022-12-05,2023-01-04,84,2.7,"The course was okay, not too bad."
199,73,12,2024-07-12,2024-10-06,29,1.4,I didn't learn anything new from this course.
200,87,21,2023-06-30,2023-08-17,38,2.7,The course met my expectations.
201,94,12,2024-07-13,2024-11-14,18,2.0,"Poorly organized, I expected better."
202,459,3,2023-08-12,2023-11-27,60,2.3,"Poorly organized, I expected better."
203,388,22,2024-08-08,2024-11-07,93,2.9,Average course with some useful content.
204,459,24,2023-04-23,2023-06-30,63,1.9,I didn't learn anything new from this course.
205,311,24,2023-02-17,2023-04-26,95,4.4,I really enjoyed this course.
206,381,8,2023-09-10,2023-11-18,5,1.7,I didn't learn anything new from this course.
207,420,17,2024-01-15,2024-04-20,23,2.0,I would not recommend this course.
208,104,15,2024-06-17,2024-08-27,79,3.1,"The course was okay, not too bad."
209,311,7,2023-04-10,2023-09-29,10,2.7,"Not much to say, it was a standard course."
210,334,19,2024-06-18,2024-10-25,5,1.4,I would not recommend this course.
211,318,22,2023-12-08,2024-01-10,54,3.0,"The course was okay, not too bad."
212,14,9,2024-04-07,2024-09-30,15,5.0,Very informative and well structured.
213,115,5,2023-09-30,2023-12-24,29,3.0,The course met my expectations.
214,479,2,2023-12-03,2024-04-30,13,2.9,"Not much to say, it was a standard course."
215,27,20,2023-06-03,2023-09-17,71,1.4,"Poorly organized, I expected better."
216,301,4,2023-06-10,2023-10-06,14,2.3,The content was outdated and irrelevant.
217,281,13,2024-10-06,2025-03-22,0,3.2,Average course with some useful content.
218,429,21,2023-05-23,2023-10-30,24,2.5,"The course was okay, not too bad."
219,354,14,2024-06-12,2024-08-22,83,4.7,"Excellent course, highly recommend!"
220,263,3,2022-10-17,2023-03-08,14,3.6,The course met my expectations.
221,32,14,2024-08-08,2025-01-20,65,2.3,The content was outdated and irrelevant.
222,336,12,2024-03-28,2024-07-09,73,1.6,"Not worth the time, very disappointing."
223,120,19,2024-10-06,2024-11-21,52,1.1,I would not recommend this course.
224,144,11,2023-05-28,2023-09-04,40,4.9,Very informative and well structured.
225,321,23,2023-01-02,2023-06-28,28,1.9,I didn't learn anything new from this course.
226,241,16,2023-06-19,2023-11-27,51,2.4,I didn't learn anything new from this course.
227,426,22,2023-11-23,2024-05-06,53,2.6,"Not much to say, it was a standard course."
228,263,19,2023-06-02,2023-09-13,27,2.8,The course met my expectations.
229,294,3,2023-03-07,2023-08-08,14,1.3,I didn't learn anything new from this course.
230,413,16,2023-10-24,2024-03-31,41,2.2,I didn't learn anything new from this course.
231,14,21,2023-03-28,2023-07-20,96,2.2,I would not recommend this course.
232,284,18,2023-12-13,2024-05-24,10,1.6,I didn't learn anything new from this course.
233,127,3,2024-02-26,2024-05-12,26,2.8,The course met my expectations.
234,123,19,2024-03-06,2024-05-10,60,2.9,It was a decent experience overall.
235,469,20,2023-12-19,2024-03-18,50,3.9,"The course was okay, not too bad."
236,382,10,2024-05-17,2024-07-23,18,2.0,The content was outdated and irrelevant.
237,163,17,2022-10-29,2023-03-09,46,1.4,I would not recommend this course.
238,363,5,2023-05-05,2023-08-25,43,1.8,"Not worth the time, very disappointing."
239,146,24,2024-05-04,2024-08-14,45,1.9,"Poorly organized, I expected better."
240,409,4,2023-02-14,2023-03-17,36,1.3,I would not recommend this course.
241,499,1,2024-06-12,2024-11-05,51,4.0,I really enjoyed this course.
242,181,22,2024-03-16,2024-08-28,71,4.5,"The instructor was great, learned a lot!"
243,495,10,2022-11-13,2023-02-21,53,1.9,The content was outdated and irrelevant.
244,444,13,2023-08-30,2024-01-24,93,2.6,"The course was okay, not too bad."
245,122,17,2023-01-11,2023-06-21,95,4.3,The materials provided were very helpful.
246,297,3,2023-05-13,2023-09-29,53,1.5,"Not worth the time, very disappointing."
247,335,17,2023-06-01,2023-09-29,70,3.1,The course met my expectations.
248,27,12,2024-08-17,2024-10-01,78,2.1,"Poorly organized, I expected better."
249,154,13,2023-10-12,2024-01-31,41,1.8,The content was outdated and irrelevant.
250,383,7,2024-07-01,2024-10-20,59,4.0,The materials provided were very helpful.
251,444,13,2022-10-26,2023-04-09,16,2.0,I would not recommend this course.
252,440,13,2023-09-18,2023-12-27,96,1.7,The content was outdated and irrelevant.
253,167,5,2022-11-28,2023-01-05,38,3.3,"Not much to say, it was a standard course."
254,152,3,2023-09-19,2023-12-26,94,3.0,It was a decent experience overall.
255,61,6,2023-04-21,2023-05-30,17,2.7,The course met my expectations.
256,421,4,2022-11-30,2023-04-03,36,2.6,Average course with some useful content.
257,47,7,2023-05-21,2023-09-23,56,2.4,"Poorly organized, I expected better."
258,418,12,2023-12-16,2024-06-05,2,3.6,"Not much to say, it was a standard course."
259,438,9,2022-12-13,2023-02-13,11,4.4,I really enjoyed this course.
260,495,5,2022-11-20,2023-02-09,59,3.5,It was a decent experience overall.
261,243,6,2023-07-08,2023-09-06,49,2.5,The course met my expectations.
262,153,19,2024-05-04,2024-10-17,5,4.3,The materials provided were very helpful.
263,189,10,2024-03-30,2024-06-28,39,1.2,The content was outdated and irrelevant.
264,72,13,2022-11-02,2023-01-07,88,1.5,The content was outdated and irrelevant.
265,314,23,2023-07-01,2023-11-12,52,4.4,"Excellent course, highly recommend!"
266,47,4,2023-08-24,2023-10-21,49,4.1,"Excellent course, highly recommend!"
267,202,4,2023-05-02,2023-06-22,13,3.9,"Not much to say, it was a standard course."
268,154,5,2023-03-03,2023-06-22,74,1.5,The content was outdated and irrelevant.
269,436,5,2023-04-06,2023-09-28,35,2.7,It was a decent experience overall.
270,311,21,2023-11-07,2024-01-20,72,1.6,"Poorly organized, I expected better."
271,302,2,2023-09-10,2023-10-30,40,4.8,"Excellent course, highly recommend!"
272,131,20,2023-06-10,2023-07-23,86,4.6,I really enjoyed this course.
273,43,24,2023-11-28,2024-04-25,35,1.9,The content was outdated and irrelevant.
274,287,21,2022-12-14,2023-03-14,14,1.4,The content was outdated and irrelevant.
275,292,16,2024-04-29,2024-10-19,87,2.1,"Not worth the time, very disappointing."
276,378,14,2024-08-17,2024-12-15,33,1.1,The content was outdated and irrelevant.
277,265,22,2023-08-18,2023-11-08,35,1.2,"Not worth the time, very disappointing."
278,419,13,2023-01-13,2023-07-05,3,3.7,Average course with some useful content.
279,312,16,2024-01-17,2024-06-22,24,2.1,The content was outdated and irrelevant.
280,211,18,2023-11-26,2024-05-11,0,4.2,The materials provided were very helpful.
281,158,19,2023-05-16,2023-08-22,16,3.9,"The course was okay, not too bad."
282,180,12,2024-10-03,2025-02-07,92,2.1,"Poorly organized, I expected better."
283,255,15,2023-06-15,2023-10-18,80,2.1,I didn't learn anything new from this course.
284,210,15,2024-08-22,2025-02-04,23,3.2,"Not much to say, it was a standard course."
285,290,2,2023-02-04,2023-07-09,95,1.8,The content was outdated and irrelevant.
286,60,24,2024-08-21,2024-11-04,100,3.2,The course met my expectations.
287,38,16,2024-08-30,2024-11-06,11,1.2,"Poorly organized, I expected better."
288,339,13,2023-07-12,2023-12-20,1,2.2,"Poorly organized, I expected better."
289,293,20,2023-11-25,2024-01-28,86,4.9,"Excellent course, highly recommend!"
290,187,15,2024-09-19,2024-10-19,15,1.9,I didn't learn anything new from this course.
291,483,23,2024-04-16,2024-07-19,1,2.7,Average course with some useful content.
292,100,12,2023-08-04,2024-01-21,79,2.7,Average course with some useful content.
293,269,7,2023-04-22,2023-08-11,51,2.9,The course met my expectations.
294,86,23,2024-08-29,2024-11-26,17,1.9,The content was outdated and irrelevant.
295,265,17,2023-08-17,2023-11-03,86,4.4,Very informative and well structured.
296,497,12,2023-09-28,2024-03-21,59,4.9,Very informative and well structured.
297,363,11,2023-09-15,2024-01-25,24,1.6,"Poorly organized, I expected better."
298,75,16,2023-10-30,2023-12-23,88,2.9,Average course with some useful content.
299,88,2,2023-10-19,2024-01-19,55,1.4,"Not worth the time, very disappointing."
300,413,5,2024-08-02,2024-10-14,57,2.3,"Poorly organized, I expected better."
301,447,12,2023-08-15,2023-10-02,42,2.0,I would not recommend this course.
302,392,20,2023-07-21,2023-10-04,61,3.8,"The course was okay, not too bad."
303,373,5,2024-04-04,2024-06-21,13,3.6,Average course with some useful content.
304,71,16,2023-03-06,2023-04-17,71,1.4,"Not worth the time, very disappointing."
305,178,9,2022-11-04,2023-01-29,81,3.2,The course met my expectations.
306,425,2,2024-04-25,2024-09-30,16,2.7,Average course with some useful content.
307,123,20,2023-01-15,2023-05-10,95,1.5,I didn't learn anything new from this course.
308,284,19,2024-03-23,2024-09-08,53,2.2,"Poorly organized, I expected better."
309,60,20,2023-03-31,2023-05-22,4,3.1,"Not much to say, it was a standard course."
310,94,1,2023-08-03,2023-10-03,87,2.3,"Not worth the time, very disappointing."
311,131,4,2023-03-29,2023-06-30,16,4.9,"The instructor was great, learned a lot!"
312,419,9,2024-03-01,2024-08-15,40,3.8,"Not much to say, it was a standard course."
313,101,24,2023-11-28,2024-01-15,40,2.0,"Not worth the time, very disappointing."
314,409,6,2023-10-07,2023-12-31,88,1.7,"Not worth the time, very disappointing."
315,125,13,2023-07-15,2023-12-05,67,1.8,"Poorly organized, I expected better."
316,10,8,2023-08-09,2023-09-21,25,1.5,I would not recommend this course.
317,361,9,2024-07-04,2024-10-25,27,3.2,Average course with some useful content.
318,99,22,2024-01-19,2024-02-20,67,2.8,The course met my expectations.
319,226,17,2023-01-05,2023-04-04,72,4.8,"The instructor was great, learned a lot!"
320,335,6,2024-02-25,2024-05-11,11,3.2,The course met my expectations.
321,335,12,2022-10-31,2023-01-11,71,3.0,"Not much to say, it was a standard course."
322,289,2,2024-03-09,2024-06-10,19,3.9,It was a decent experience overall.
323,280,19,2024-01-10,2024-05-06,26,4.0,"Excellent course, highly recommend!"
324,413,10,2024-09-03,2024-10-27,37,2.9,The course met my expectations.
325,60,2,2023-01-16,2023-03-01,95,4.4,The materials provided were very helpful.
326,438,19,2023-03-26,2023-07-13,68,1.2,"Poorly organized, I expected better."
327,204,5,2023-06-16,2023-11-25,1,4.7,"The instructor was great, learned a lot!"
328,312,24,2023-06-30,2023-09-16,31,2.6,It was a decent experience overall.
329,180,6,2024-02-29,2024-08-24,75,3.5,The course met my expectations.
330,195,1,2024-03-26,2024-06-25,64,2.9,"Not much to say, it was a standard course."
331,433,12,2023-05-18,2023-07-14,78,1.2,"Poorly organized, I expected better."
332,171,6,2024-10-05,2025-01-20,7,3.8,It was a decent experience overall.
333,178,19,2023-04-28,2023-09-18,70,2.9,"Not much to say, it was a standard course."
334,212,10,2023-10-27,2024-02-19,89,2.9,"The course was okay, not too bad."
335,276,23,2024-08-16,2024-10-03,47,1.3,"Not worth the time, very disappointing."
336,386,13,2024-06-13,2024-12-08,38,4.4,Very informative and well structured.
337,386,13,2024-06-12,2024-07-18,53,3.2,"The course was okay, not too bad."
338,292,24,2024-01-10,2024-06-01,21,1.2,"Poorly organized, I expected better."
339,469,20,2023-08-14,2023-10-29,36,2.6,"The course was okay, not too bad."
340,8,17,2023-09-13,2023-10-26,45,2.7,"The course was okay, not too bad."
341,249,1,2023-11-19,2024-04-26,56,3.2,The course met my expectations.
342,44,3,2023-09-01,2024-02-26,8,1.1,I didn't learn anything new from this course.
343,210,19,2024-07-24,2024-11-12,82,4.3,I really enjoyed this course.
344,492,3,2023-06-30,2023-11-18,93,2.7,The course met my expectations.
345,431,10,2023-08-15,2024-01-18,81,2.1,"Not worth the time, very disappointing."
346,467,6,2023-03-09,2023-05-31,29,1.5,The content was outdated and irrelevant.
347,131,15,2022-12-15,2023-05-29,19,1.7,"Not worth the time, very disappointing."
348,164,11,2023-02-08,2023-05-14,7,3.7,Average course with some useful content.
349,44,6,2024-01-17,2024-04-15,51,4.9,Very informative and well structured.
350,96,1,2023-04-20,2023-06-17,20,3.6,It was a decent experience overall.
351,182,7,2023-10-18,2024-01-25,86,4.9,I really enjoyed this course.
352,369,21,2024-03-09,2024-08-21,39,4.7,I really enjoyed this course.
353,142,20,2023-01-14,2023-02-13,1,2.7,The course met my expectations.
354,213,17,2023-08-17,2024-01-23,51,3.4,The course met my expectations.
355,412,22,2022-10-10,2023-03-22,54,1.4,"Poorly organized, I expected better."
356,302,3,2023-05-01,2023-08-03,13,1.9,I would not recommend this course.
357,426,14,2024-01-03,2024-06-24,37,3.7,"Not much to say, it was a standard course."
358,138,17,2023-05-26,2023-10-11,92,1.0,I would not recommend this course.
359,461,13,2023-08-01,2023-11-17,85,3.6,Average course with some useful content.
360,8,22,2024-03-09,2024-08-21,1,2.8,"The course was okay, not too bad."
361,94,19,2023-03-05,2023-07-09,0,3.1,"The course was okay, not too bad."
